fold,model,probe_type,clf,n_train,n_val,n_test,best_layer,accuracy,true_accuracy,false_accuracy,precision,recall,f1,auc,tp,fn,tn,fp,n_total
4,base,init_band_emb,AdaBoost,1524,508,508,,0.5570866141732284,0.5590551181102362,0.5551181102362205,0.5568627450980392,0.5590551181102362,0.5579567779960707,0.5756944013888028,142,112,141,113,508
4,base,end_band,LR,1524,508,508,,0.6614173228346457,0.6692913385826772,0.6535433070866141,0.6589147286821705,0.6692913385826772,0.6640625,0.7470239940479881,170,84,166,88,508
4,base,end_band,RF,1524,508,508,,0.6279527559055118,0.6220472440944882,0.6338582677165354,0.6294820717131474,0.6220472440944882,0.6257425742574257,0.6750418500837003,158,96,161,93,508
4,base,end_band,AdaBoost,1524,508,508,,0.6279527559055118,0.6692913385826772,0.5866141732283464,0.6181818181818182,0.6692913385826772,0.6427221172022685,0.6553103106206212,170,84,149,105,508
4,base,ib_no_pca,LR,1524,508,508,,0.5649606299212598,0.5511811023622047,0.5787401574803149,0.5668016194331984,0.5511811023622047,0.5588822355289421,0.592240684481369,140,114,147,107,508
4,base,ib_no_pca,RF,1524,508,508,,0.5787401574803149,0.5748031496062992,0.5826771653543307,0.5793650793650794,0.5748031496062992,0.5770750988142292,0.615754231508463,146,108,148,106,508
4,base,ib_no_pca,AdaBoost,1524,508,508,,0.5275590551181102,0.5511811023622047,0.5039370078740157,0.5263157894736842,0.5511811023622047,0.5384615384615384,0.5446323392646786,140,114,128,126,508
4,base,vote_ensemble,LR,1524,508,508,,0.6771653543307087,0.6968503937007874,0.65748031496063,0.6704545454545454,0.6968503937007874,0.6833976833976834,,177,77,167,87,508
4,base,vote_ensemble,RF,1524,508,508,,0.6692913385826772,0.6220472440944882,0.7165354330708661,0.6869565217391305,0.6220472440944882,0.6528925619834711,,158,96,182,72,508
4,base,vote_ensemble,AdaBoost,1524,508,508,,0.6732283464566929,0.7007874015748031,0.6456692913385826,0.664179104477612,0.7007874015748031,0.6819923371647509,,178,76,164,90,508
4,base,avg_ensemble,LR,1524,508,508,,0.6653543307086615,0.6811023622047244,0.6496062992125984,0.6603053435114504,0.6811023622047244,0.6705426356589147,0.745504991009982,173,81,165,89,508
4,base,avg_ensemble,RF,1524,508,508,,0.6712598425196851,0.6456692913385826,0.6968503937007874,0.6804979253112033,0.6456692913385826,0.6626262626262627,0.751480252960506,164,90,177,77,508
4,base,avg_ensemble,AdaBoost,1524,508,508,,0.6673228346456693,0.6850393700787402,0.6496062992125984,0.6615969581749049,0.6850393700787402,0.6731141199226306,0.7504805009610018,174,80,165,89,508
0,GradDiff,per_layer,LR,1524,508,508,25,0.6141732283464567,0.5866141732283464,0.6417322834645669,0.6208333333333333,0.5866141732283464,0.6032388663967612,0.6196292392584786,149,105,163,91,508
0,GradDiff,per_layer,RF,1524,508,508,1,0.5610236220472441,0.5787401574803149,0.5433070866141733,0.55893536121673,0.5787401574803149,0.5686653771760155,0.585490420980842,147,107,138,116,508
0,GradDiff,per_layer,AdaBoost,1524,508,508,15,0.5452755905511811,0.5748031496062992,0.515748031496063,0.5427509293680297,0.5748031496062992,0.5583173996175909,0.55498635997272,146,108,131,123,508
0,GradDiff,mid_band,LR,1524,508,508,,0.6259842519685039,0.5866141732283464,0.6653543307086615,0.6367521367521367,0.5866141732283464,0.610655737704918,0.6741738483476967,149,105,169,85,508
