method,ck,fold,probe_type,clf,n_train,n_val,n_test,best_layer,accuracy,true_accuracy,false_accuracy,precision,recall,f1,auc,tp,fn,tn,fp,n_total
GradDiff,1,3,mid_band,RF,1524,508,508,,0.5787401574803149,0.4881889763779528,0.6692913385826772,0.5961538461538461,0.4881889763779528,0.5367965367965368,0.6439565379130758,124,130,170,84,508
GradDiff,1,3,mid_band,AdaBoost,1524,508,508,,0.6240157480314961,0.6141732283464567,0.6338582677165354,0.6265060240963856,0.6141732283464567,0.6202783300198808,0.6753363506727014,156,98,161,93,508
GradDiff,1,3,full_layer,LR,1524,508,508,,0.6338582677165354,0.6377952755905512,0.6299212598425197,0.6328125,0.6377952755905512,0.6352941176470588,0.7025699051398103,162,92,160,94,508
GradDiff,1,3,full_layer,RF,1524,508,508,,0.6082677165354331,0.6141732283464567,0.6023622047244095,0.6070038910505836,0.6141732283464567,0.6105675146771037,0.6573795647591296,156,98,153,101,508
GradDiff,1,3,full_layer,AdaBoost,1524,508,508,,0.6082677165354331,0.5984251968503937,0.6181102362204725,0.6104417670682731,0.5984251968503937,0.6043737574552683,0.66000682001364,152,102,157,97,508
GradDiff,1,3,init_band,LR,1524,508,508,,0.5748031496062992,0.5826771653543307,0.5669291338582677,0.5736434108527132,0.5826771653543307,0.578125,0.6210552421104842,148,106,144,110,508
GradDiff,1,3,init_band,RF,1524,508,508,,0.5531496062992126,0.4330708661417323,0.6732283464566929,0.5699481865284974,0.4330708661417323,0.49217002237136465,0.5703313906627814,110,144,171,83,508
GradDiff,1,3,init_band,AdaBoost,1524,508,508,,0.531496062992126,0.468503937007874,0.594488188976378,0.536036036036036,0.468503937007874,0.5,0.5536378572757145,119,135,151,103,508
GradDiff,1,3,init_band_emb,LR,1524,508,508,,0.5748031496062992,0.5826771653543307,0.5669291338582677,0.5736434108527132,0.5826771653543307,0.578125,0.6210552421104842,148,106,144,110,508
GradDiff,1,3,init_band_emb,RF,1524,508,508,,0.5531496062992126,0.43700787401574803,0.6692913385826772,0.5692307692307692,0.43700787401574803,0.49443207126948774,0.5624108748217497,111,143,170,84,508
GradDiff,1,3,init_band_emb,AdaBoost,1524,508,508,,0.5334645669291339,0.44881889763779526,0.6181102362204725,0.5402843601895735,0.44881889763779526,0.49032258064516127,0.5492513485026971,114,140,157,97,508
GradDiff,1,3,end_band,LR,1524,508,508,,0.6456692913385826,0.6496062992125984,0.6417322834645669,0.64453125,0.6496062992125984,0.6470588235294118,0.7021669043338086,165,89,163,91,508
GradDiff,1,3,end_band,RF,1524,508,508,,0.5866141732283464,0.531496062992126,0.6417322834645669,0.5973451327433629,0.531496062992126,0.5625,0.6115614731229463,135,119,163,91,508
GradDiff,1,3,end_band,AdaBoost,1524,508,508,,0.5708661417322834,0.5866141732283464,0.5551181102362205,0.5687022900763359,0.5866141732283464,0.5775193798449613,0.6230857461714924,149,105,141,113,508
GradDiff,1,3,ib_no_pca,LR,1524,508,508,,0.5649606299212598,0.6181102362204725,0.5118110236220472,0.5587188612099644,0.6181102362204725,0.5869158878504673,0.5923181846363692,157,97,130,124,508
GradDiff,1,3,ib_no_pca,RF,1524,508,508,,0.5452755905511811,0.49606299212598426,0.594488188976378,0.5502183406113537,0.49606299212598426,0.5217391304347826,0.594736189472379,126,128,151,103,508
GradDiff,1,3,ib_no_pca,AdaBoost,1524,508,508,,0.4940944881889764,0.4881889763779528,0.5,0.4940239043824701,0.4881889763779528,0.4910891089108911,0.5197005394010787,124,130,127,127,508
GradDiff,1,3,vote_ensemble,LR,1524,508,508,,0.6377952755905512,0.6338582677165354,0.6417322834645669,0.6388888888888888,0.6338582677165354,0.6363636363636364,,161,93,163,91,508
GradDiff,1,3,vote_ensemble,RF,1524,508,508,,0.639763779527559,0.5866141732283464,0.6929133858267716,0.6563876651982379,0.5866141732283464,0.6195426195426196,,149,105,176,78,508
GradDiff,1,3,vote_ensemble,AdaBoost,1524,508,508,,0.6338582677165354,0.6338582677165354,0.6338582677165354,0.6338582677165354,0.6338582677165354,0.6338582677165354,,161,93,161,93,508
GradDiff,1,3,avg_ensemble,LR,1524,508,508,,0.639763779527559,0.6299212598425197,0.6496062992125984,0.642570281124498,0.6299212598425197,0.6361829025844931,0.6975478950957902,160,94,165,89,508
GradDiff,1,3,avg_ensemble,RF,1524,508,508,,0.639763779527559,0.6259842519685039,0.6535433070866141,0.6437246963562753,0.6259842519685039,0.6347305389221557,0.7014539029078058,159,95,166,88,508
GradDiff,1,3,avg_ensemble,AdaBoost,1524,508,508,,0.655511811023622,0.65748031496063,0.6535433070866141,0.6549019607843137,0.65748031496063,0.656188605108055,0.7215109430218861,167,87,166,88,508
GradDiff,1,4,per_layer,LR,1524,508,508,14,0.6535433070866141,0.6456692913385826,0.6614173228346457,0.656,0.6456692913385826,0.6507936507936508,0.6989273978547957,164,90,168,86,508
GradDiff,1,4,per_layer,RF,1524,508,508,16,0.610236220472441,0.5748031496062992,0.6456692913385826,0.6186440677966102,0.5748031496062992,0.5959183673469388,0.6720270940541881,146,108,164,90,508
GradDiff,1,4,per_layer,AdaBoost,1524,508,508,23,0.5984251968503937,0.5826771653543307,0.6141732283464567,0.6016260162601627,0.5826771653543307,0.592,0.6352842705685411,148,106,156,98,508
GradDiff,1,4,mid_band,LR,1524,508,508,,0.6673228346456693,0.6535433070866141,0.6811023622047244,0.6720647773279352,0.6535433070866141,0.6626746506986028,0.7360189720379442,166,88,173,81,508
GradDiff,1,4,mid_band,RF,1524,508,508,,0.6043307086614174,0.5511811023622047,0.65748031496063,0.6167400881057269,0.5511811023622047,0.5821205821205822,0.6690743381486763,140,114,167,87,508
GradDiff,1,4,mid_band,AdaBoost,1524,508,508,,0.6338582677165354,0.6535433070866141,0.6141732283464567,0.6287878787878788,0.6535433070866141,0.640926640926641,0.6587745675491352,166,88,156,98,508
