method,contrast,feature_mode,direction,question_set,quintile,n_questions,positive_rate,suppressed_rate,forgotten_rate,retained_rate,mean_projection_score,projection_score_min,projection_score_max
RepNoise,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,2,62,0.7096774193548387,0.7096774193548387,0.2903225806451613,0.0,-0.4561650954430344,-0.8018921847816877,-0.1465150902347488
RepNoise,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,3,63,0.8095238095238095,0.8095238095238095,0.1904761904761904,0.0,0.1407247341063468,-0.1304919341551926,0.4000788766079145
RepNoise,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,4,62,0.9032258064516128,0.9032258064516128,0.0967741935483871,0.0,0.6153953274102563,0.4052051739187853,0.7923898929381888
RepNoise,suppressed_vs_forgotten,correct_only,mean_difference,Qstar,5,63,0.9047619047619048,0.9047619047619048,0.0952380952380952,0.0,1.0815857683804322,0.7948946748261494,1.9750565710201964
RepNoise,suppressed_vs_retained,correct_only,mean_difference,Qstar,1,111,0.3153153153153153,0.3153153153153153,0.0,0.6846846846846847,-1.0533459525619666,-1.669845904312691,-0.8099280997678908
RepNoise,suppressed_vs_retained,correct_only,mean_difference,Qstar,2,110,0.3272727272727272,0.3272727272727272,0.0,0.6727272727272727,-0.6655870797938636,-0.8094214995061831,-0.4983404910738767
RepNoise,suppressed_vs_retained,correct_only,mean_difference,Qstar,3,110,0.3545454545454545,0.3545454545454545,0.0,0.6454545454545455,-0.2183730088780306,-0.496361535478922,0.1671251996376795
RepNoise,suppressed_vs_retained,correct_only,mean_difference,Qstar,4,110,0.5636363636363636,0.5636363636363636,0.0,0.4363636363636363,0.5753834625743514,0.1684468340428373,0.8798644619226694
RepNoise,suppressed_vs_retained,correct_only,mean_difference,Qstar,5,110,0.6636363636363637,0.6636363636363637,0.0,0.3363636363636363,1.3714984509555277,0.8815028918220925,3.121403480407899
RepNoise,suppressed_vs_rest,correct_only,mean_difference,Qstar,1,141,0.2482269503546099,0.2482269503546099,0.1631205673758865,0.3829787234042553,-0.9870169582111884,-1.7354193208100757,-0.6933635729760035
RepNoise,suppressed_vs_rest,correct_only,mean_difference,Qstar,2,140,0.1857142857142857,0.1857142857142857,0.0785714285714285,0.5785714285714286,-0.52388918996214,-0.691372603865546,-0.3805973209340236
RepNoise,suppressed_vs_rest,correct_only,mean_difference,Qstar,3,140,0.3142857142857143,0.3142857142857143,0.0428571428571428,0.5357142857142857,-0.1529759574484302,-0.3801450699972045,0.144908167166781
RepNoise,suppressed_vs_rest,correct_only,mean_difference,Qstar,4,140,0.4714285714285714,0.4714285714285714,0.0785714285714285,0.3857142857142857,0.4872535814570207,0.1503746904602008,0.7681368687094583
RepNoise,suppressed_vs_rest,correct_only,mean_difference,Qstar,5,140,0.5285714285714286,0.5285714285714286,0.1214285714285714,0.3,1.1836786452948178,0.7753342898527011,2.839102508487182
RepNoise,forgotten_vs_retained,correct_only,mean_difference,Qstar,1,75,0.0666666666666666,0.0,0.0666666666666666,0.9333333333333332,-1.0052534973478786,-1.708833429762889,-0.7484036236273129
RepNoise,forgotten_vs_retained,correct_only,mean_difference,Qstar,2,75,0.0933333333333333,0.0,0.0933333333333333,0.9066666666666666,-0.4859598742231766,-0.7460879462998999,-0.2930463719466775
RepNoise,forgotten_vs_retained,correct_only,mean_difference,Qstar,3,74,0.1756756756756756,0.0,0.1756756756756756,0.8243243243243243,-0.1254557219253995,-0.2901478210112055,0.0903377633317182
RepNoise,forgotten_vs_retained,correct_only,mean_difference,Qstar,4,75,0.1333333333333333,0.0,0.1333333333333333,0.8666666666666667,0.3501581517140977,0.0959348477364656,0.6406068290280802
